Shape of X [B, N]: torch.Size([1, 472])
Shape of y: torch.Size([1]) torch.int64
| epoch   4 |   135/  360 batches | accuracy    0.800
| epoch   4 |   140/  360 batches | accuracy    0.800
| epoch   4 |   145/  360 batches | accuracy    1.000
| epoch   4 |   150/  360 batches | accuracy    0.600
| epoch   4 |   155/  360 batches | accuracy    1.000
| epoch   4 |   160/  360 batches | accuracy    0.800
| epoch   4 |   165/  360 batches | accuracy    0.800
| epoch   4 |   170/  360 batches | accuracy    0.800
| epoch   4 |   175/  360 batches | accuracy    1.000
| epoch   4 |   180/  360 batches | accuracy    1.000
| epoch   4 |   185/  360 batches | accuracy    0.800
| epoch   4 |   190/  360 batches | accuracy    0.800
| epoch   4 |   195/  360 batches | accuracy    1.000
| epoch   4 |   200/  360 batches | accuracy    1.000
| epoch   4 |   205/  360 batches | accuracy    0.800
| epoch   4 |   210/  360 batches | accuracy    1.000
| epoch   4 |   215/  360 batches | accuracy    1.000
| epoch   4 |   220/  360 batches | accuracy    1.000
| epoch   4 |   225/  360 batches | accuracy    1.000
| epoch   4 |   230/  360 batches | accuracy    0.800
| epoch   4 |   235/  360 batches | accuracy    1.000
| epoch   4 |   240/  360 batches | accuracy    1.000
| epoch   4 |   245/  360 batches | accuracy    1.000
| epoch   4 |   250/  360 batches | accuracy    1.000
| epoch   4 |   255/  360 batches | accuracy    1.000
| epoch   4 |   260/  360 batches | accuracy    1.000
| epoch   4 |   265/  360 batches | accuracy    0.800
| epoch   4 |   270/  360 batches | accuracy    1.000
| epoch   4 |   275/  360 batches | accuracy    1.000
| epoch   4 |   280/  360 batches | accuracy    1.000
| epoch   4 |   285/  360 batches | accuracy    0.800
| epoch   4 |   290/  360 batches | accuracy    1.000
| epoch   4 |   295/  360 batches | accuracy    0.800
| epoch   4 |   300/  360 batches | accuracy    0.800
| epoch   4 |   305/  360 batches | accuracy    1.000
| epoch   4 |   310/  360 batches | accuracy    0.800
| epoch   4 |   315/  360 batches | accuracy    1.000
| epoch   4 |   320/  360 batches | accuracy    0.800
| epoch   4 |   325/  360 batches | accuracy    0.800
| epoch   4 |   330/  360 batches | accuracy    1.000
| epoch   4 |   335/  360 batches | accuracy    0.800
